Provinsi,2019,2020,2021,2022,2023
Aceh,126489,136068,132623,155509,165516
Sumatera Utara,142679,145972,138145,157710,159835
Sumatera Barat,131781,145383,145679,176992,192468
Riau,133831,143731,144206,177956,179138
Jambi,48358,49748,47754,55537,56581
Sumatera Selatan,60949,63198,59786,69953,65486
Bengkulu,18155,18842,18089,20907,21076
Lampung,55548,63790,70978,104524,108882
Bangka Belitung,26226,30589,31252,67169,40374
Kepulauan Riau,66037,72888,68736,79038,82628
DKI Jakarta,298533,308839,286497,324387,308506
Jawa Barat,589240,635049,638525,778232,841546
Jawa Tengah,429979,462432,454000,537002,579526
D.I Yogyakarta,61500,62752,59702,68561,73133
Jawa Timur,648376,639570,626183,759600,764319
Banten,179180,191084,190731,236361,236560
Bali,204569,204569,202521,232586,246440
Nusa Tenggara Barat,38733,40794,39352,46279,47028
Nusa Tenggara Timur,32421,33352,31180,35715,36583
Kalimantan Barat,71843,73793,69640,79426,83795
Kalimantan Tengah,61424,62628,58549,67167,71224
Kalimantan Selatan,57352,59841,58182,68815,75597
Kalimantan Timur,65362,69433,69940,79962,89002
Kalimantan Utara,4259,4259,4260,4870,5241
Sulawesi Utara,26424,27078,25263,28596,28889
Sulawesi Tengah,22755,22755,22709,26428,28178
Sulawesi Selatan,96567,100960,96592,113554,113574
Sulawesi Tenggara,26234,28548,27568,32056,30363
Gorontalo,8557,8569,8374,9773,10554
Sulawesi Barat,11074,11537,10972,12077,12962
Maluku,15074,14563,13300,18459,14448
Maluku Utara,12841,13100,12373,14305,14376
Papua Barat,15865,16239,15086,17254,16921
Papua,36445,35968,22159,36436,33432
Indonesia,3828337,3996131,3911103,4640585,4806141
